& VCR & MJH & JAE & GHA? & MFGR? &&& CLO & RLO & RRU & JGZ &&& FGH & MGG & EMT 
 C3 & 0.082    & 0.142    & 0.047    & 0.189    && 0.115    & 0.063    & 0.045    & 0.354    & 0.421    & 0.030    & 0.213    & 0.204    & 0.091    & 0.169    & 0.191    
 C4 & 0.096    & 0.126    & 0.006    & 0.126    && 0.089    & 0.057    & 0.030    & 0.404    & 0.132    & -      & 0.141    & 0.184    & 0.045    & 0.139    & 0.213    
 CZ & 0.027    & 0.126    & 0.006    & 0.095    && 0.063    & 0.056    & 0.038    & 0.222    & 0.105    & 0.030    & 0.099    & 0.089    & 0.045    & 0.078    & 0.255    
 F3 & 0.068    & 0.181    & 0.018    & 0.147    && 0.104    & 0.074    & 0.053    & 0.434    & 0.079    & 0.091    & 0.164    & 0.181    & 0.273    & 0.084    & 0.085    
 F4 & 0.151    & 0.181    & -      & 0.168    && 0.125    & 0.084    & 0.045    & 0.364    & 0.132    & -      & 0.135    & 0.162    & -      & 0.024    & 0.319    
 F7 & 0.068    & 0.118    & 0.006    & 0.232    && 0.106    & 0.095    & 0.008    & 0.182    & -      & -      & 0.047    & 0.090    & -      & 0.012    & 0.043    
 F8 & 0.055    & 0.087    & -      & 0.242    && 0.096    & 0.104    & 0.030    & 0.232    & 0.026    & -      & 0.072    & 0.108    & -      & 0.012    & 0.234    
 FP1 & 0.027    & 0.055    & 0.058    & 0.253    && 0.098    & 0.104    & -      & -      & 0.026    & -      & 0.007    & 0.013    & 1.000    & -      & 0.170    
 FP2 & 0.014    & 0.047    & 0.006    & 0.105    && 0.043    & 0.045    & 0.008    & 0.152    & 0.026    & -      & 0.046    & 0.071    & -      & 0.006    & 0.085    
 FZ & 0.151    & 0.142    & 0.012    & 0.126    && 0.108    & 0.065    & 0.053    & 0.384    & 0.053    & 0.061    & 0.138    & 0.164    & -      & 0.120    & 0.298    
 O1 & 0.137    & 0.157    & -      & 0.284    && 0.145    & 0.116    & 0.015    & 0.253    & 0.237    & 0.061    & 0.141    & 0.121    & 0.227    & 0.108    & 0.277    
 O2 & 0.178    & 0.181    & -      & 0.274    && 0.158    & 0.114    & 0.023    & 0.343    & 0.237    & 0.030    & 0.158    & 0.158    & 0.045    & 0.072    & 0.106    
 P3 & 0.082    & 0.134    & -      & 0.263    && 0.120    & 0.110    & 0.038    & 0.333    & 0.211    & -      & 0.145    & 0.155    & 0.045    & 0.145    & 0.234    
 P4 & 0.055    & 0.150    & -      & 0.295    && 0.125    & 0.129    & 0.030    & 0.273    & 0.132    & 0.030    & 0.116    & 0.115    & 0.182    & 0.090    & 0.234    
 PZ & 0.055    & 0.118    & -      & 0.221    && 0.098    & 0.095    & 0.030    & 0.323    & 0.105    & -      & 0.115    & 0.146    & 0.045    & 0.048    & 0.149    
 T3 & 0.137    & 0.228    & -      & 0.274    && 0.160    & 0.121    & 0.076    & 0.343    & 0.105    & -      & 0.131    & 0.148    & 0.091    & 0.175    & 0.149    
 T4 & 0.164    & 0.157    & -      & 0.116    && 0.109    & 0.076    & 0.023    & 0.354    & 0.158    & 0.030    & 0.141    & 0.155    & -      & 0.060    & 0.277    
 T5 & 0.137    & 0.205    & -      & 0.211    && 0.138    & 0.098    & 0.038    & 0.343    & 0.132    & 0.061    & 0.143    & 0.139    & 0.091    & 0.187    & 0.319    
 T6 & 0.205    & 0.142    & -      & 0.263    && 0.153    & 0.113    & 0.023    & 0.242    & 0.105    & 0.061    & 0.108    & 0.096    & -      & 0.054    & 0.234    
 LOG & 0.082    & 0.157    & 0.018    & 0.263    && 0.130    & 0.106    & 0.038    & 0.111    & 0.053    & -      & 0.050    & 0.046    & 0.045    & 0.048    & 0.277    
 ROG & 0.082    & 0.165    & 0.006    & 0.316    && 0.142    & 0.133    & 0.068    & 0.071    & 0.105    & 0.030    & 0.069    & 0.031    & -      & 0.114    & 0.340    
 EMG & 0.192    & 0.087    & 0.012    & -      && 0.073    & 0.088    & 0.106    & 0.162    & 0.105    & -      & 0.093    & 0.068    & -      & 0.018    & 0.021    
